,pitch,start,end,duration,next_note
14624,69,24,28,4,62_2
14625,53,26,28,2,65_2
14626,53,26,28,2,65_2
14627,65,24,28,4,65_2
14628,71,26,28,2,62_2
14629,62,26,28,2,65_2
14630,69,24,28,4,67_2
14631,69,24,28,4,67_2
14632,60,29,30,1,62_1
14633,60,29,30,1,62_1
14634,60,29,30,1,62_1
14635,60,29,30,1,62_1
14636,60,29,30,1,62_1
14637,60,29,30,1,62_1
14638,60,29,30,1,62_1
14639,62,22,24,2,62_2
14640,69,14,16,2,65_2
14641,64,18,20,2,65_4
14642,71,8,10,2,64_2
14643,64,26,28,2,69_2
14644,64,26,28,2,69_2
14645,69,26,28,2,71_2
14646,67,26,28,2,60_2
14647,67,24,26,2,57_2
14648,62,22,24,2,64_4
14649,69,26,28,2,69_2
14650,65,26,28,2,62_2
14651,69,24,26,2,69_2
14652,60,26,28,2,65_2
14653,67,14,16,2,71_2
14654,64,26,28,2,67_2
14655,60,4,8,4,64_2
14656,71,4,8,4,60_4
